"_univ-rank","d-none src","logo-wrapper src","uni-link","uni-link href","location","qs-stars-font","btn","overall-score-span","_addShortText"
"=80","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-southampton_567_small.jpg","University of Southampton","https://www.topuniversities.com/universities/university-southampton","Southampton,  United Kingdom","QS Stars","More Details","64.1","Shortlist"
"=82","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/the-university-of-adelaide_10_small.jpg","The University of Adelaide","https://www.topuniversities.com/universities/university-adelaide","Adelaide,  Australia","QS Stars","More Details","63.8","Shortlist"
"=82","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/University-of-Leeds-2-1-48x48.jpg","University of Leeds","https://www.topuniversities.com/universities/university-leeds","Leeds,  United Kingdom","QS Stars","More Details","63.8","Shortlist"
"=84","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/221104124726pm969012uniHD-siegel-200x200k-48x48.jpg","Universität Heidelberg","https://www.topuniversities.com/universities/universitat-heidelberg","Heidelberg,  Germany","QS Stars","More Details","63.7","Shortlist"
"=84","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/tokyo-institute-of-technology_592560cf2aeae70239af4ceb_small.jpg","Tokyo Institute of Technology (Tokyo Tech)","https://www.topuniversities.com/universities/tokyo-institute-technology-tokyo-tech","Tokyo,  Japan","QS Stars","More Details","63.7","Shortlist"
"86","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/osaka-university_472_small.jpg","Osaka University","https://www.topuniversities.com/universities/osaka-university","Osaka City,  Japan","QS Stars","More Details","63.5","Shortlist"
"87","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/trinity-college-dublin-the-university-of-dublin_167_small.jpg","Trinity College Dublin, The University of Dublin","https://www.topuniversities.com/universities/trinity-college-dublin-university-dublin","Dublin,  Ireland","QS Stars","More Details","62.9","Shortlist"
"88","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-technology-sydney_592560cf2aeae70239af4ccf_small.jpg","University of Technology Sydney","https://www.topuniversities.com/universities/university-technology-sydney","Haymarket,  Australia","QS Stars","More Details","62.4","Shortlist"
"=89","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/durham-university_170_small.jpg","Durham University","https://www.topuniversities.com/universities/durham-university","Durham,  United Kingdom","QS Stars","More Details","61.7","Shortlist"
"=89","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/pennsylvania-state-university_494_small.jpg","Pennsylvania State University","https://www.topuniversities.com/universities/pennsylvania-state-university","University Park,  United States","QS Stars","More Details","61.7","Shortlist"
