"tablescraper-selected-row","tablescraper-selected-row 2","xl68","xl68 2","xl67","xl67 href","xl67 2","xl70","xl70 2","xl69","xl69 href","xl69 2"
"=87","New York","","","","","","401–500","401–500","Syracuse University","https://www.timeshighereducation.com/world-university-rankings/syracuse-university","Syracuse"
"=87","Louisiana","401–500","351–400","Tulane University","https://www.timeshighereducation.com/world-university-rankings/tulane-university","New Orleans","","","","",""
"=87","Virginia","","","","","","401–500","501–600","Virginia Commonwealth University","https://www.timeshighereducation.com/world-university-rankings/virginia-commonwealth-university","Richmond"
"=87","North Carolina","401–500","351–400","Wake Forest University","https://www.timeshighereducation.com/world-university-rankings/wake-forest-university","Winston-Salem","","","","",""
"=108","Alaska","","","","","","501–600","401–500","University of Alaska Fairbanks","https://www.timeshighereducation.com/world-university-rankings/university-alaska-fairbanks","Fairbanks"
"=108","Alabama","501–600","601–800","Auburn University","https://www.timeshighereducation.com/world-university-rankings/auburn-university","Auburn","","","","",""
"=108","Colorado","","","","","","501–600","401–500","University of Denver","https://www.timeshighereducation.com/world-university-rankings/university-denver","Denver"
"=108","Texas","501–600","601–800","University of Houston","https://www.timeshighereducation.com/world-university-rankings/university-houston","Houston","","","","",""
"=108","Nebraska","","","","","","501–600","401–500","University of Nebraska Medical Center","https://www.timeshighereducation.com/world-university-rankings/university-nebraska-medical-center","Omaha"
"=108","Illinois","501–600","351–400","Rush University","https://www.timeshighereducation.com/world-university-rankings/rush-university","Chicago","","","","",""
"=108","Texas","","","","","","501–600","601–800","The University of Texas at San Antonio","https://www.timeshighereducation.com/world-university-rankings/university-texas-san-antonio","Arlington"
"=108","Oklahoma","501–600","401–500","The University of Tulsa","https://www.timeshighereducation.com/world-university-rankings/university-tulsa","Tulsa","","","","",""
"=108","MIchigan","","","","","","501–600","501–600","Wayne State University","https://www.timeshighereducation.com/world-university-rankings/wayne-state-university","Detroit"
"=117","Alabama","601–800","801–1000","University of Alabama","https://www.timeshighereducation.com/world-university-rankings/university-alabama","Tuscaloosa","","","","",""
"=117","Washington DC","","","","","","601–800","601–800","American University","https://www.timeshighereducation.com/world-university-rankings/american-university",""
"=117","Arkansas","601–800","601–800","University of Arkansas","https://www.timeshighereducation.com/world-university-rankings/university-arkansas","Fayetteville","","","","",""
"=117","Texas","","","","","","601–800","601–800","Baylor University","https://www.timeshighereducation.com/world-university-rankings/baylor-university","Waco"
"=117","Washington DC","601–800","NR","The Catholic University of America","https://www.timeshighereducation.com/world-university-rankings/catholic-university-america","","","","","",""
"=117","Massachusetts","","","","","","601–800","601–800","Clark University","https://www.timeshighereducation.com/world-university-rankings/clark-university","Worcester"
"=117","Kansas","601–800","801–1000","Kansas State University","https://www.timeshighereducation.com/world-university-rankings/kansas-state-university","Lawrence","","","","",""
"=117","Pennsylvania","","","","","","601–800","601–800","Lehigh University","https://www.timeshighereducation.com/world-university-rankings/lehigh-university","Bethlehem"
"=117","Louisiana","601–800","601–800","Louisiana State University","https://www.timeshighereducation.com/world-university-rankings/louisiana-state-university","Baton Rouge","","","","",""
"=117","Maryland","","","","","","601–800","601–800","University of Maryland, Baltimore County","https://www.timeshighereducation.com/world-university-rankings/university-maryland-baltimore-county","Baltimore"
"=117","Mississippi","601–800","801–1000","Mississippi State University","https://www.timeshighereducation.com/world-university-rankings/mississippi-state-university","Starkville","","","","",""
"=117","Nevada","","","","","","601–800","601–800","University of Nevada, Las Vegas","https://www.timeshighereducation.com/world-university-rankings/university-nevada-las-vegas","Las Vegas"
"=117","North Carolina","601–800","601–800","University of North Carolina at Charlotte","https://www.timeshighereducation.com/world-university-rankings/university-north-carolina-charlotte","Charlotte","","","","",""
"=117","Illinois","","","","","","601–800","801–1000","Northern Illinois University","https://www.timeshighereducation.com/world-university-rankings/northern-illinois-university","DeKalb"
"=117","Ohio","601–800","801–1000","Ohio University (Main campus)","https://www.timeshighereducation.com/world-university-rankings/ohio-university-main-campus","Athens","","","","",""
"=117","Oklahoma","","","","","","601–800","601–800","Oklahoma State University","https://www.timeshighereducation.com/world-university-rankings/oklahoma-state-university","Stillwater"
"=117","Virginia","601–800","801–1000","Old Dominion University","https://www.timeshighereducation.com/world-university-rankings/old-dominion-university","Norfolk","","","","",""
"=117","Rhode Island","","","","","","601–800","801–1000","University of Rhode Island","https://www.timeshighereducation.com/world-university-rankings/university-rhode-island","South Kingstown"
"=117","New York","601–800","601–800","SUNY Binghamton University","https://www.timeshighereducation.com/world-university-rankings/suny-binghamton-university","Binghamton","","","","",""
"=117","Texas","","","","","","601–800","601–800","University of Texas at Arlington","https://www.timeshighereducation.com/world-university-rankings/university-texas-arlington","Arlington"
"=117","Texas","601–800","801–1000","Texas Tech University","https://www.timeshighereducation.com/world-university-rankings/texas-tech-university","Lubbock","","","","",""
"=117","Ohio","","","","","","601–800","601–800","University of Toledo","https://www.timeshighereducation.com/world-university-rankings/university-toledo","Toledo"
"=117","Virginia","601–800","401–500","William & Mary","https://www.timeshighereducation.com/world-university-rankings/william-mary","Williamsburg","","","","",""
"=117","Massachusetts","","","","","","601–800","801–1000","Worcester Polytechnic Institute","https://www.timeshighereducation.com/world-university-rankings/worcester-polytechnic-institute","Worcester"
"=117","Wyoming","601–800","801–1000","University of Wyoming","https://www.timeshighereducation.com/world-university-rankings/university-wyoming","Laramie","","","","",""
"=142","California","","","","","","801–1000","801–1000","Chapman University","https://www.timeshighereducation.com/world-university-rankings/chapman-university","Orange"
"=142","New York","801–1000","1001–1200","Clarkson University","https://www.timeshighereducation.com/world-university-rankings/clarkson-university","Potsdam","","","","",""
"=142","Florida","","","","","","801–1000","801–1000","Florida Atlantic University","https://www.timeshighereducation.com/world-university-rankings/florida-atlantic-university","Boca Raton"
"=142","Florida","801–1000","1001–1200","Florida Institute of Technology","https://www.timeshighereducation.com/world-university-rankings/florida-institute-technology","Melbourne","","","","",""
"=142","Washington DC","","","","","","801–1000","351–400","Howard University","https://www.timeshighereducation.com/world-university-rankings/howard-university",""
"=142","Wisconsin","801–1000","801–1000","Marquette University","https://www.timeshighereducation.com/world-university-rankings/marquette-university","Milwaukee","","","","",""
"=142","Tennessee","","","","","","801–1000","801–1000","University of Memphis","https://www.timeshighereducation.com/world-university-rankings/university-memphis","Memphis"
"=142","Montana","801–1000","801–1000","Montana State University","https://www.timeshighereducation.com/world-university-rankings/montana-state-university","Bozeman","","","","",""
"=142","New York","","","","","","801–1000","801–1000","The New School","https://www.timeshighereducation.com/world-university-rankings/new-school","New York City"
"=142","New Mexico","801–1000","801–1000","New Mexico State University (Main campus)","https://www.timeshighereducation.com/world-university-rankings/new-mexico-state-university-main-campus","Albuquerque","","","","",""
"=142","Florida","","","","","","801–1000","401–500","Nova Southeastern University","https://www.timeshighereducation.com/world-university-rankings/nova-southeastern-university","Fort Lauderdale"
"=142","Oregon","801–1000","1001–1200","Portland State University","https://www.timeshighereducation.com/world-university-rankings/portland-state-university","Portland","","","","",""
"=142","New York","","","","","","801–1000","1001–1200","Rochester Institute of Technology","https://www.timeshighereducation.com/world-university-rankings/rochester-institute-technology","Rochester"
"=142","California","801–1000","601–800","San Diego State University","https://www.timeshighereducation.com/world-university-rankings/san-diego-state-university","San Diego","","","","",""
"=142","Texas","","","","","","801–1000","801–1000","University of Texas at El Paso","https://www.timeshighereducation.com/world-university-rankings/university-texas-el-paso","El Paso"
"=157","Ohio","1001–1200","1001–1200","Bowling Green State University","https://www.timeshighereducation.com/world-university-rankings/bowling-green-state-university","Bowling Green","","","","",""
"=157","Michigan","","","","","","1001–1200","NR","Central Michigan University","https://www.timeshighereducation.com/world-university-rankings/central-michigan-university","Mount Pleasant"
"=157","Florida","1001–1200","801–1000","Florida Agricultural and Mechanical University","https://www.timeshighereducation.com/world-university-rankings/florida-agricultural-and-mechanical-university","Tallahassee","","","","",""
"=157","Michigan","","","","","","1001–1200","1001–1200","Oakland University","https://www.timeshighereducation.com/world-university-rankings/oakland-university","Rochester"
"=157","New Jersey","1001–1200","1001–1200","Rowan University","https://www.timeshighereducation.com/world-university-rankings/rowan-university","Glassboro","","","","",""
"=157","South Dakota","","","","","","1001–1200","1001–1200","University of South Dakota","https://www.timeshighereducation.com/world-university-rankings/university-south-dakota","Vermillion"
"=157","Texas","1001–1200","1201–1500","Texas State University","https://www.timeshighereducation.com/world-university-rankings/texas-state-university","San Marcos","","","","",""
"=157","Michigan","","","","","","1001–1200","1201–1500","Western Michigan University","https://www.timeshighereducation.com/world-university-rankings/western-michigan-university","Kalamazoo"
"=157","Georgia","1201–1500","1201–1500","Georgia Southern University","https://www.timeshighereducation.com/world-university-rankings/georgia-southern-university","Statesboro","","","","",""
"=157","Maryland","","","","","","1201–1500","1001–1200","Morgan State University","https://www.timeshighereducation.com/world-university-rankings/morgan-state-university","Baltimore"
"=157","Texas","1201–1500","1001–1200","University of Texas Rio Grande Valley","https://www.timeshighereducation.com/world-university-rankings/university-texas-rio-grande-valley","Brownsville","","","","",""
"=168","New York","","","","","","1501+","NR","Adelphi University","https://www.timeshighereducation.com/world-university-rankings/adelphi-university","Garden City"
".=168","South Carolina","1501+","NR","College of Charleston","https://www.timeshighereducation.com/world-university-rankings/college-charleston","Charleston","","","","",""
